icon 0: {'type': 'text', 'bbox': [0.06290322542190552, 0.01984127052128315, 0.15161290764808655, 0.035353533923625946], 'interactivity': False, 'content': '13:45', 'source': 'box_ocr_content_ocr'}
icon 1: {'type': 'text', 'bbox': [0.20322580635547638, 0.19552668929100037, 0.44354838132858276, 0.22727273404598236], 'interactivity': False, 'content': '339 399', 'source': 'box_ocr_content_ocr'}
icon 2: {'type': 'text', 'bbox': [0.6709677577018738, 0.3531745970249176, 0.7645161151885986, 0.36471861600875854], 'interactivity': False, 'content': 'BIRKENSTOCK', 'source': 'box_ocr_content_ocr'}
icon 3: {'type': 'icon', 'bbox': [0.05027510225772858, 0.34769076108932495, 0.34179767966270447, 0.5281662940979004], 'interactivity': True, 'content': 'BIRKENSTOCK 129423 ', 'source': 'box_yolo_content_ocr'}
icon 4: {'type': 'icon', 'bbox': [0.3506593406200409, 0.3492986857891083, 0.6441090106964111, 0.5286016464233398], 'interactivity': True, 'content': 'BIRKENSTOCK 129421 ', 'source': 'box_yolo_content_ocr'}
icon 5: {'type': 'icon', 'bbox': [0.6135899424552917, 0.6382716298103333, 0.749165415763855, 0.6997547149658203], 'interactivity': True, 'content': '45 ', 'source': 'box_yolo_content_ocr'}
icon 6: {'type': 'icon', 'bbox': [0.3307732045650482, 0.6392242908477783, 0.4658210873603821, 0.7000401616096497], 'interactivity': True, 'content': '43 ', 'source': 'box_yolo_content_ocr'}
icon 7: {'type': 'icon', 'bbox': [0.4732343554496765, 0.6387845277786255, 0.608004093170166, 0.7001311779022217], 'interactivity': True, 'content': '44 ', 'source': 'box_yolo_content_ocr'}
icon 8: {'type': 'icon', 'bbox': [0.18844830989837646, 0.6383920907974243, 0.3252606689929962, 0.699978232383728], 'interactivity': True, 'content': '42 ', 'source': 'box_yolo_content_ocr'}
icon 9: {'type': 'icon', 'bbox': [0.7585076093673706, 0.5849372744560242, 0.8906365036964417, 0.6387771964073181], 'interactivity': True, 'content': '40 ', 'source': 'box_yolo_content_ocr'}
icon 10: {'type': 'icon', 'bbox': [0.18338856101036072, 0.5845023989677429, 0.3272997736930847, 0.6389906406402588], 'interactivity': True, 'content': '36 ', 'source': 'box_yolo_content_ocr'}
icon 11: {'type': 'icon', 'bbox': [0.7576329112052917, 0.6384468078613281, 0.8903728127479553, 0.6993334889411926], 'interactivity': True, 'content': '46 ', 'source': 'box_yolo_content_ocr'}
icon 12: {'type': 'icon', 'bbox': [0.6138198375701904, 0.5846856832504272, 0.7500659823417664, 0.6390262246131897], 'interactivity': True, 'content': '39 ', 'source': 'box_yolo_content_ocr'}
icon 13: {'type': 'icon', 'bbox': [0.045327477157115936, 0.5845546722412109, 0.18666689097881317, 0.6394275426864624], 'interactivity': True, 'content': '35 ', 'source': 'box_yolo_content_ocr'}
icon 14: {'type': 'icon', 'bbox': [0.046275544911623, 0.6388729214668274, 0.1848740577697754, 0.7001163959503174], 'interactivity': True, 'content': '41 ', 'source': 'box_yolo_content_ocr'}
icon 15: {'type': 'icon', 'bbox': [0.328084796667099, 0.5846287608146667, 0.4681374728679657, 0.6389140486717224], 'interactivity': True, 'content': '37 ', 'source': 'box_yolo_content_ocr'}
icon 16: {'type': 'icon', 'bbox': [0.47233694791793823, 0.5846109390258789, 0.6093324422836304, 0.6389673352241516], 'interactivity': True, 'content': '38 ', 'source': 'box_yolo_content_ocr'}
icon 17: {'type': 'icon', 'bbox': [0.8410223126411438, 0.7155233025550842, 0.9507801532745361, 0.7642958760261536], 'interactivity': True, 'content': '+ ', 'source': 'box_yolo_content_ocr'}
icon 18: {'type': 'icon', 'bbox': [0.7352678179740906, 0.7152689099311829, 0.8278775215148926, 0.7619140148162842], 'interactivity': True, 'content': '1 ', 'source': 'box_yolo_content_ocr'}
icon 19: {'type': 'icon', 'bbox': [0.8576249480247498, 0.01541215181350708, 0.9237512350082397, 0.03532673045992851], 'interactivity': True, 'content': '100 ', 'source': 'box_yolo_content_ocr'}
icon 20: {'type': 'icon', 'bbox': [0.025915130972862244, 0.9140894412994385, 0.971902072429657, 0.9726455211639404], 'interactivity': True, 'content': 'a red folder or file.', 'source': 'box_yolo_content_yolo'}
icon 21: {'type': 'icon', 'bbox': [0.02826799266040325, 0.1942438930273056, 0.1967896819114685, 0.271731436252594], 'interactivity': True, 'content': 'a power button or switch.', 'source': 'box_yolo_content_yolo'}
icon 22: {'type': 'icon', 'bbox': [0.6104703545570374, 0.7136026620864868, 0.7359346747398376, 0.7654402256011963], 'interactivity': True, 'content': 'a loading or buffering indicator.', 'source': 'box_yolo_content_yolo'}
icon 23: {'type': 'icon', 'bbox': [0.3114418685436249, 0.017874684184789658, 0.3539775311946869, 0.03538528457283974], 'interactivity': True, 'content': 'Refresh or reload the page.', 'source': 'box_yolo_content_yolo'}
icon 24: {'type': 'icon', 'bbox': [0.6955179572105408, 0.012656880542635918, 0.7465251684188843, 0.03902924060821533], 'interactivity': True, 'content': 'a push pin or pinning function.', 'source': 'box_yolo_content_yolo'}
icon 25: {'type': 'icon', 'bbox': [0.8071632385253906, 0.015257454477250576, 0.850071370601654, 0.035232819616794586], 'interactivity': True, 'content': 'A close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 26: {'type': 'icon', 'bbox': [0.25962862372398376, 0.017906904220581055, 0.3009287714958191, 0.03503022715449333], 'interactivity': True, 'content': 'Refresh or reload.', 'source': 'box_yolo_content_yolo'}
icon 27: {'type': 'icon', 'bbox': [0.752338707447052, 0.013950967229902744, 0.8003027439117432, 0.03717702627182007], 'interactivity': True, 'content': 'Wi-Fi signal orWi-fi connectivity.', 'source': 'box_yolo_content_yolo'}
icon 28: {'type': 'icon', 'bbox': [0.8842955827713013, 0.19496671855449677, 0.9679431319236755, 0.23264186084270477], 'interactivity': True, 'content': 'A close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 29: {'type': 'icon', 'bbox': [0.21221224963665009, 0.017754487693309784, 0.2520117461681366, 0.03534599021077156], 'interactivity': True, 'content': 'A web browser or application.', 'source': 'box_yolo_content_yolo'}
icon 30: {'type': 'icon', 'bbox': [0.16003645956516266, 0.017120998352766037, 0.20411144196987152, 0.03571527823805809], 'interactivity': True, 'content': 'a notification or alert.', 'source': 'box_yolo_content_yolo'}
icon 31: {'type': 'icon', 'bbox': [0.8077074885368347, 0.30867239832878113, 0.8649994730949402, 0.33307191729545593], 'interactivity': True, 'content': 'a loading or buffering indicator.', 'source': 'box_yolo_content_yolo'}
icon 32: {'type': 'icon', 'bbox': [0.9182525873184204, 0.13970185816287994, 0.9649416208267212, 0.17179015278816223], 'interactivity': True, 'content': 'a push pin or pinning function.', 'source': 'box_yolo_content_yolo'}
icon 33: {'type': 'icon', 'bbox': [0.2051689475774765, 0.23069441318511963, 0.5273616909980774, 0.2565184235572815], 'interactivity': True, 'content': 'Red writing or a message.', 'source': 'box_yolo_content_yolo'}
icon 34: {'type': 'icon', 'bbox': [0.7250689268112183, 0.479084312915802, 0.7725069522857666, 0.5015489459037781], 'interactivity': True, 'content': 'the symbol for writing or marking.', 'source': 'box_yolo_content_yolo'}
icon 35: {'type': 'icon', 'bbox': [0.8752749562263489, 0.30513444542884827, 0.9466935396194458, 0.3345524072647095], 'interactivity': True, 'content': 'A symbol or symbol indicating a user profile or account.', 'source': 'box_yolo_content_yolo'}
icon 36: {'type': 'icon', 'bbox': [0.05164853855967522, 0.7285658717155457, 0.13643664121627808, 0.7512381672859192], 'interactivity': True, 'content': 'A symbol or symbol related to Japanese language.', 'source': 'box_yolo_content_yolo'}
icon 37: {'type': 'icon', 'bbox': [0.875845730304718, 0.142396479845047, 0.9196304678916931, 0.16736187040805817], 'interactivity': True, 'content': 'Adding a new item or element.', 'source': 'box_yolo_content_yolo'}
icon 38: {'type': 'icon', 'bbox': [0.6805854439735413, 0.4792318344116211, 0.7267787456512451, 0.5022869110107422], 'interactivity': True, 'content': 'a symbol or element element.', 'source': 'box_yolo_content_yolo'}
icon 39: {'type': 'icon', 'bbox': [0.849931001663208, 0.47905921936035156, 0.9278472661972046, 0.5080477595329285], 'interactivity': True, 'content': 'a button to delete or delete a task.', 'source': 'box_yolo_content_yolo'}
