icon 0: {'type': 'text', 'bbox': [0.07661290466785431, 0.01984127052128315, 0.16129031777381897, 0.035353533923625946], 'interactivity': False, 'content': '17:01', 'source': 'box_ocr_content_ocr'}
icon 1: {'type': 'text', 'bbox': [0.14516128599643707, 0.5079365372657776, 0.2750000059604645, 0.5378788113594055], 'interactivity': False, 'content': '004', 'source': 'box_ocr_content_ocr'}
icon 2: {'type': 'text', 'bbox': [0.8056451678276062, 0.5061327815055847, 0.8653225898742676, 0.51875901222229], 'interactivity': False, 'content': '35ml', 'source': 'box_ocr_content_ocr'}
icon 3: {'type': 'text', 'bbox': [0.6370967626571655, 0.5292207598686218, 0.6919354796409607, 0.5447330474853516], 'interactivity': False, 'content': '100m', 'source': 'box_ocr_content_ocr'}
icon 4: {'type': 'text', 'bbox': [0.7790322303771973, 0.5324675440788269, 0.8411290049552917, 0.5479797720909119], 'interactivity': False, 'content': '100m', 'source': 'box_ocr_content_ocr'}
icon 5: {'type': 'text', 'bbox': [0.5120967626571655, 0.6165223717689514, 0.5629032254219055, 0.631313145160675], 'interactivity': False, 'content': '30g', 'source': 'box_ocr_content_ocr'}
icon 6: {'type': 'text', 'bbox': [0.060483869165182114, 0.887445867061615, 0.3846774101257324, 0.9083694219589233], 'interactivity': False, 'content': '12WYX*', 'source': 'box_ocr_content_ocr'}
icon 7: {'type': 'icon', 'bbox': [0.7849175333976746, 0.054840367287397385, 0.8794589042663574, 0.09169016033411026], 'interactivity': True, 'content': '147 ', 'source': 'box_yolo_content_ocr'}
icon 8: {'type': 'icon', 'bbox': [0.024584757164120674, 0.10412579774856567, 0.36929935216903687, 0.136640727519989], 'interactivity': True, 'content': '67 ', 'source': 'box_yolo_content_ocr'}
icon 9: {'type': 'icon', 'bbox': [0.024323461577296257, 0.13852213323116302, 0.14142578840255737, 0.19811010360717773], 'interactivity': True, 'content': '04:16 ', 'source': 'box_yolo_content_ocr'}
icon 10: {'type': 'icon', 'bbox': [0.02695268578827381, 0.7436790466308594, 0.7379310727119446, 0.7796494960784912], 'interactivity': True, 'content': '3 ', 'source': 'box_yolo_content_ocr'}
icon 11: {'type': 'icon', 'bbox': [0.020614048466086388, 0.049430567771196365, 0.46804407238960266, 0.09727752208709717], 'interactivity': True, 'content': 'A tool for writing or editing.', 'source': 'box_yolo_content_yolo'}
icon 12: {'type': 'icon', 'bbox': [0.33981919288635254, 0.9212055802345276, 0.44713032245635986, 0.9712260961532593], 'interactivity': True, 'content': 'a user profile or account.', 'source': 'box_yolo_content_yolo'}
icon 13: {'type': 'icon', 'bbox': [0.3240945339202881, 0.017807969823479652, 0.36748015880584717, 0.03592037782073021], 'interactivity': True, 'content': 'Refresh or reload the page.', 'source': 'box_yolo_content_yolo'}
icon 14: {'type': 'icon', 'bbox': [0.7224297523498535, 0.9208891987800598, 0.8411463499069214, 0.9727917909622192], 'interactivity': True, 'content': 'A bookmark or note.', 'source': 'box_yolo_content_yolo'}
icon 15: {'type': 'icon', 'bbox': [0.7121970057487488, 0.016703886911273003, 0.7589522004127502, 0.03718816488981247], 'interactivity': True, 'content': 'A symbol or symbol related to a user profile or account.', 'source': 'box_yolo_content_yolo'}
icon 16: {'type': 'icon', 'bbox': [0.5929978489875793, 0.920963704586029, 0.7120223045349121, 0.9732351303100586], 'interactivity': True, 'content': 'a logo or logo related to a social media or social media application.', 'source': 'box_yolo_content_yolo'}
icon 17: {'type': 'icon', 'bbox': [0.8974522948265076, 0.0550321601331234, 0.9773662090301514, 0.09229984134435654], 'interactivity': True, 'content': 'a close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 18: {'type': 'icon', 'bbox': [0.2748892605304718, 0.017833005636930466, 0.3146766126155853, 0.035669248551130295], 'interactivity': True, 'content': 'A note or note-taking application.', 'source': 'box_yolo_content_yolo'}
icon 19: {'type': 'icon', 'bbox': [0.7676520347595215, 0.017089370638132095, 0.8139126896858215, 0.03622337058186531], 'interactivity': True, 'content': 'Wi-Fi signal orWi-fi connectivity.', 'source': 'box_yolo_content_yolo'}
icon 20: {'type': 'icon', 'bbox': [0.8710934519767761, 0.016246188431978226, 0.9381204843521118, 0.036352720111608505], 'interactivity': True, 'content': 'A number or date.', 'source': 'box_yolo_content_yolo'}
icon 21: {'type': 'icon', 'bbox': [0.8205122351646423, 0.016703570261597633, 0.8622333407402039, 0.03623521327972412], 'interactivity': True, 'content': 'Close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 22: {'type': 'icon', 'bbox': [0.45931047201156616, 0.9170563817024231, 0.5812714099884033, 0.972427248954773], 'interactivity': True, 'content': 'a notification or message.', 'source': 'box_yolo_content_yolo'}
icon 23: {'type': 'icon', 'bbox': [0.526433527469635, 0.0553128719329834, 0.6116344928741455, 0.09185351431369781], 'interactivity': True, 'content': 'A user profile or account.', 'source': 'box_yolo_content_yolo'}
icon 24: {'type': 'icon', 'bbox': [0.4328650236129761, 0.14578889310359955, 0.5206978917121887, 0.18671642243862152], 'interactivity': True, 'content': 'the symbol for a home or main menu.', 'source': 'box_yolo_content_yolo'}
icon 25: {'type': 'icon', 'bbox': [0.7376586198806763, 0.10471104830503464, 0.9839551448822021, 0.1346934288740158], 'interactivity': True, 'content': 'a line or column.', 'source': 'box_yolo_content_yolo'}
icon 26: {'type': 'icon', 'bbox': [0.22548700869083405, 0.017632029950618744, 0.26562556624412537, 0.035997677594423294], 'interactivity': True, 'content': 'Refresh or reload the page.', 'source': 'box_yolo_content_yolo'}
icon 27: {'type': 'icon', 'bbox': [0.1741866171360016, 0.017415881156921387, 0.21738006174564362, 0.03619387373328209], 'interactivity': True, 'content': 'A symbol or logo, possibly for a mobile app or service.', 'source': 'box_yolo_content_yolo'}
icon 28: {'type': 'icon', 'bbox': [0.3530120849609375, 0.14499159157276154, 0.4330635368824005, 0.18987856805324554], 'interactivity': True, 'content': 'the symbol for writing.', 'source': 'box_yolo_content_yolo'}
icon 29: {'type': 'icon', 'bbox': [0.6147118806838989, 0.05555110052227974, 0.6940414309501648, 0.09173979610204697], 'interactivity': True, 'content': 'a user profile or avatar.', 'source': 'box_yolo_content_yolo'}
icon 30: {'type': 'icon', 'bbox': [0.8504350185394287, 0.9192844033241272, 0.9698302149772644, 0.9733791351318359], 'interactivity': True, 'content': 'a leaf or leaf-like symbol, typically used for sending or receiving messages.', 'source': 'box_yolo_content_yolo'}
icon 31: {'type': 'icon', 'bbox': [0.6994891166687012, 0.05509054660797119, 0.7798535823822021, 0.09121854603290558], 'interactivity': True, 'content': 'a profile picture of a person with dark hair.', 'source': 'box_yolo_content_yolo'}
icon 32: {'type': 'icon', 'bbox': [0.27377504110336304, 0.14134317636489868, 0.35398489236831665, 0.19084163010120392], 'interactivity': True, 'content': 'the symbol for creating a new item or element.', 'source': 'box_yolo_content_yolo'}
icon 33: {'type': 'icon', 'bbox': [0.375405490398407, 0.10438070446252823, 0.5417919158935547, 0.14738214015960693], 'interactivity': True, 'content': 'A symbol or logo related to a social media or application.', 'source': 'box_yolo_content_yolo'}
icon 34: {'type': 'icon', 'bbox': [0.3021894097328186, 0.8807485699653625, 0.4030786156654358, 0.9126550555229187], 'interactivity': True, 'content': 'a pause button.', 'source': 'box_yolo_content_yolo'}
icon 35: {'type': 'icon', 'bbox': [0.25632762908935547, 0.884054958820343, 0.30678820610046387, 0.9120200872421265], 'interactivity': True, 'content': 'a notification or alert.', 'source': 'box_yolo_content_yolo'}
icon 36: {'type': 'icon', 'bbox': [0.7631111145019531, 0.1421629637479782, 0.8496255278587341, 0.18749193847179413], 'interactivity': True, 'content': 'A symbol or logo indicating a new item or item.', 'source': 'box_yolo_content_yolo'}
icon 37: {'type': 'icon', 'bbox': [0.17508448660373688, 0.1397651880979538, 0.2784363925457001, 0.1927150934934616], 'interactivity': True, 'content': 'A bookmarking or bookmarking function.', 'source': 'box_yolo_content_yolo'}
icon 38: {'type': 'icon', 'bbox': [0.028281457722187042, 0.777976930141449, 0.9411264657974243, 0.815061628818512], 'interactivity': True, 'content': 'A file or document.', 'source': 'box_yolo_content_yolo'}
icon 39: {'type': 'icon', 'bbox': [0.5597018599510193, 0.11472926288843155, 0.6659303307533264, 0.1506611853837967], 'interactivity': True, 'content': 'A symbol or logo, possibly indicating a user interface or platform.', 'source': 'box_yolo_content_yolo'}
icon 40: {'type': 'icon', 'bbox': [0.02274477295577526, 0.2483803629875183, 0.17822878062725067, 0.2753279209136963], 'interactivity': True, 'content': 'A symbol or symbol related to writing.', 'source': 'box_yolo_content_yolo'}
icon 41: {'type': 'icon', 'bbox': [0.8519585132598877, 0.13892987370491028, 0.9616844058036804, 0.19291836023330688], 'interactivity': True, 'content': 'A notification indicating one unread message.', 'source': 'box_yolo_content_yolo'}
icon 42: {'type': 'icon', 'bbox': [0.8672530651092529, 0.33767229318618774, 0.9618079662322998, 0.3664742708206177], 'interactivity': True, 'content': 'the symbol for walking or starting a new item.', 'source': 'box_yolo_content_yolo'}
icon 43: {'type': 'icon', 'bbox': [0.024139823392033577, 0.7103105187416077, 0.783122181892395, 0.7454689741134644], 'interactivity': True, 'content': 'A file or document.', 'source': 'box_yolo_content_yolo'}
