icon 0: {'type': 'text', 'bbox': [0.0717741921544075, 0.01984127052128315, 0.16370967030525208, 0.035353533923625946], 'interactivity': False, 'content': '09:57', 'source': 'box_ocr_content_ocr'}
icon 1: {'type': 'icon', 'bbox': [0.023205934092402458, 0.050085339695215225, 0.4658620059490204, 0.0962856113910675], 'interactivity': True, 'content': '764t ', 'source': 'box_yolo_content_ocr'}
icon 2: {'type': 'icon', 'bbox': [0.7882106900215149, 0.05592375248670578, 0.8743610978126526, 0.09031837433576584], 'interactivity': True, 'content': '21 ', 'source': 'box_yolo_content_ocr'}
icon 3: {'type': 'icon', 'bbox': [0.7126848697662354, 0.8464311361312866, 0.9163376092910767, 0.8631616234779358], 'interactivity': True, 'content': 'A power button or power indicator.', 'source': 'box_yolo_content_yolo'}
icon 4: {'type': 'icon', 'bbox': [0.4622246026992798, 0.9212054014205933, 0.5794786810874939, 0.9712918996810913], 'interactivity': True, 'content': 'a thumbs up or like button.', 'source': 'box_yolo_content_yolo'}
icon 5: {'type': 'icon', 'bbox': [0.7098867297172546, 0.8616915345191956, 0.9155480861663818, 0.8790662884712219], 'interactivity': True, 'content': 'A line or line of text.', 'source': 'box_yolo_content_yolo'}
icon 6: {'type': 'icon', 'bbox': [0.7099364995956421, 0.8297395706176758, 0.9153264164924622, 0.8475797772407532], 'interactivity': True, 'content': 'a power button or switch.', 'source': 'box_yolo_content_yolo'}
icon 7: {'type': 'icon', 'bbox': [0.6355906128883362, 0.697426974773407, 0.7615963220596313, 0.723859429359436], 'interactivity': True, 'content': 'A file or document.', 'source': 'box_yolo_content_yolo'}
icon 8: {'type': 'icon', 'bbox': [0.4645494520664215, 0.6981018781661987, 0.6329483985900879, 0.724769651889801], 'interactivity': True, 'content': 'A form or file.', 'source': 'box_yolo_content_yolo'}
icon 9: {'type': 'icon', 'bbox': [0.5332217812538147, 0.055272772908210754, 0.6126419305801392, 0.09048400074243546], 'interactivity': True, 'content': 'a person with long dark hair.', 'source': 'box_yolo_content_yolo'}
icon 10: {'type': 'icon', 'bbox': [0.8506495356559753, 0.9208765029907227, 0.9692039489746094, 0.9745750427246094], 'interactivity': True, 'content': 'a user profile or account.', 'source': 'box_yolo_content_yolo'}
icon 11: {'type': 'icon', 'bbox': [0.617739200592041, 0.055501509457826614, 0.6955642104148865, 0.0899481251835823], 'interactivity': True, 'content': 'A mirror or mirror image.', 'source': 'box_yolo_content_yolo'}
