icon 0: {'type': 'text', 'bbox': [0.07661290466785431, 0.01984127052128315, 0.16612903773784637, 0.035353533923625946], 'interactivity': False, 'content': '10:38', 'source': 'box_ocr_content_ocr'}
icon 1: {'type': 'text', 'bbox': [0.20645160973072052, 0.19805194437503815, 0.34838709235191345, 0.22510822117328644], 'interactivity': False, 'content': '228', 'source': 'box_ocr_content_ocr'}
icon 2: {'type': 'icon', 'bbox': [0.051493894308805466, 0.34746310114860535, 0.3416878283023834, 0.5282357335090637], 'interactivity': True, 'content': 'a briefcase or briefcase handle.', 'source': 'box_yolo_content_yolo'}
icon 3: {'type': 'icon', 'bbox': [0.3502989113330841, 0.3483872711658478, 0.6453921794891357, 0.5286282896995544], 'interactivity': True, 'content': 'A message or messagebox.', 'source': 'box_yolo_content_yolo'}
icon 4: {'type': 'icon', 'bbox': [0.02601170726120472, 0.9139056205749512, 0.9714885354042053, 0.9724511504173279], 'interactivity': True, 'content': 'a red folder or file.', 'source': 'box_yolo_content_yolo'}
icon 5: {'type': 'icon', 'bbox': [0.8474284410476685, 0.5453931093215942, 0.9473305940628052, 0.5884042978286743], 'interactivity': True, 'content': 'a button to add or create a new item.', 'source': 'box_yolo_content_yolo'}
icon 6: {'type': 'icon', 'bbox': [0.619254469871521, 0.545333206653595, 0.7233472466468811, 0.5903218388557434], 'interactivity': True, 'content': 'a single line or rectangle.', 'source': 'box_yolo_content_yolo'}
icon 7: {'type': 'icon', 'bbox': [0.0264400877058506, 0.19435782730579376, 0.1962777078151703, 0.26934924721717834], 'interactivity': True, 'content': 'A tool for removing or removing a file.', 'source': 'box_yolo_content_yolo'}
icon 8: {'type': 'icon', 'bbox': [0.736099362373352, 0.5453180074691772, 0.8269032835960388, 0.5888200402259827], 'interactivity': True, 'content': 'the number 1.', 'source': 'box_yolo_content_yolo'}
icon 9: {'type': 'icon', 'bbox': [0.7671862840652466, 0.017131708562374115, 0.813051164150238, 0.03716595470905304], 'interactivity': True, 'content': 'Wi-Fi signal orWi-fi connectivity.', 'source': 'box_yolo_content_yolo'}
icon 10: {'type': 'icon', 'bbox': [0.7120495438575745, 0.0169508159160614, 0.7564810514450073, 0.03822750598192215], 'interactivity': True, 'content': 'a profile or icon.', 'source': 'box_yolo_content_yolo'}
icon 11: {'type': 'icon', 'bbox': [0.8845224976539612, 0.19517765939235687, 0.9673823118209839, 0.23251214623451233], 'interactivity': True, 'content': 'A close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 12: {'type': 'icon', 'bbox': [0.3230600655078888, 0.01802944950759411, 0.3660833537578583, 0.03685501962900162], 'interactivity': True, 'content': 'A symbol or logo related to a messaging or social media application.', 'source': 'box_yolo_content_yolo'}
icon 13: {'type': 'icon', 'bbox': [0.8213878273963928, 0.01687258668243885, 0.861378014087677, 0.03636128827929497], 'interactivity': True, 'content': 'Close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 14: {'type': 'icon', 'bbox': [0.8702987432479858, 0.017677733674645424, 0.9369409084320068, 0.03519636392593384], 'interactivity': True, 'content': 'A number or date.', 'source': 'box_yolo_content_yolo'}
icon 15: {'type': 'icon', 'bbox': [0.27541202306747437, 0.017446566373109818, 0.3142528831958771, 0.035529859364032745], 'interactivity': True, 'content': 'a symbol or logo.', 'source': 'box_yolo_content_yolo'}
icon 16: {'type': 'icon', 'bbox': [0.17337773740291595, 0.017155194655060768, 0.21694420278072357, 0.03586658835411072], 'interactivity': True, 'content': 'a notification or alert.', 'source': 'box_yolo_content_yolo'}
icon 17: {'type': 'icon', 'bbox': [0.22409068048000336, 0.017117513343691826, 0.26525434851646423, 0.03573320433497429], 'interactivity': True, 'content': 'A note or note-taking application.', 'source': 'box_yolo_content_yolo'}
icon 18: {'type': 'icon', 'bbox': [0.742918074131012, 0.13680042326450348, 0.968536376953125, 0.17133274674415588], 'interactivity': True, 'content': 'A symbol or symbol related to a payment or payment method.', 'source': 'box_yolo_content_yolo'}
icon 19: {'type': 'icon', 'bbox': [0.21206113696098328, 0.2340729981660843, 0.3873749077320099, 0.255308598279953], 'interactivity': True, 'content': 'Red paint or brush tool.', 'source': 'box_yolo_content_yolo'}
icon 20: {'type': 'icon', 'bbox': [0.04481157287955284, 0.13724654912948608, 0.11695519834756851, 0.17182780802249908], 'interactivity': True, 'content': 'A checkmark indicating a task or confirmation.', 'source': 'box_yolo_content_yolo'}
icon 21: {'type': 'icon', 'bbox': [0.8085278272628784, 0.3085569441318512, 0.8639452457427979, 0.3334709405899048], 'interactivity': True, 'content': 'a loading or buffering indicator.', 'source': 'box_yolo_content_yolo'}
icon 22: {'type': 'icon', 'bbox': [0.8967499732971191, 0.30894118547439575, 0.9485607743263245, 0.332638680934906], 'interactivity': True, 'content': 'a close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 23: {'type': 'icon', 'bbox': [0.05135755240917206, 0.5565072894096375, 0.27090102434158325, 0.5792669057846069], 'interactivity': True, 'content': 'a tool for changing audio or audio settings.', 'source': 'box_yolo_content_yolo'}
icon 24: {'type': 'icon', 'bbox': [0.32007065415382385, 0.2599222660064697, 0.3589784801006317, 0.2780330181121826], 'interactivity': True, 'content': 'the symbol for walking.', 'source': 'box_yolo_content_yolo'}
