icon 0: {'type': 'text', 'bbox': [0.06451612710952759, 0.01984127052128315, 0.15645161271095276, 0.035353533923625946], 'interactivity': False, 'content': '13:35', 'source': 'box_ocr_content_ocr'}
icon 1: {'type': 'text', 'bbox': [0.20322580635547638, 0.19552668929100037, 0.44354838132858276, 0.22727273404598236], 'interactivity': False, 'content': '339 399', 'source': 'box_ocr_content_ocr'}
icon 2: {'type': 'text', 'bbox': [0.6685484051704407, 0.35101011395454407, 0.7669354677200317, 0.3658008575439453], 'interactivity': False, 'content': 'BIRKENSTOCK', 'source': 'box_ocr_content_ocr'}
icon 3: {'type': 'icon', 'bbox': [0.050873078405857086, 0.3479159474372864, 0.34165242314338684, 0.5281670689582825], 'interactivity': True, 'content': 'BIRKENSTOCK 129423 ', 'source': 'box_yolo_content_ocr'}
icon 4: {'type': 'icon', 'bbox': [0.4729624092578888, 0.6440922617912292, 0.6093414425849915, 0.7002501487731934], 'interactivity': True, 'content': '44 ', 'source': 'box_yolo_content_ocr'}
icon 5: {'type': 'icon', 'bbox': [0.3314570188522339, 0.6448370218276978, 0.4669581353664398, 0.7001997232437134], 'interactivity': True, 'content': '43 ', 'source': 'box_yolo_content_ocr'}
icon 6: {'type': 'icon', 'bbox': [0.32929354906082153, 0.5846183896064758, 0.46917247772216797, 0.6397119164466858], 'interactivity': True, 'content': '37 ', 'source': 'box_yolo_content_ocr'}
icon 7: {'type': 'icon', 'bbox': [0.18797928094863892, 0.64488285779953, 0.3252064883708954, 0.7002575397491455], 'interactivity': True, 'content': '42 ', 'source': 'box_yolo_content_ocr'}
icon 8: {'type': 'icon', 'bbox': [0.18393516540527344, 0.5844824910163879, 0.3281657099723816, 0.6397662162780762], 'interactivity': True, 'content': '36 ', 'source': 'box_yolo_content_ocr'}
icon 9: {'type': 'icon', 'bbox': [0.044863611459732056, 0.5845305919647217, 0.18630282580852509, 0.6402276158332825], 'interactivity': True, 'content': '35 ', 'source': 'box_yolo_content_ocr'}
icon 10: {'type': 'icon', 'bbox': [0.3510672450065613, 0.3492671847343445, 0.6439850330352783, 0.5284711718559265], 'interactivity': True, 'content': 'BIRKENSTOCK 129421 ', 'source': 'box_yolo_content_ocr'}
icon 11: {'type': 'icon', 'bbox': [0.47283580899238586, 0.5846357345581055, 0.6100470423698425, 0.6395657658576965], 'interactivity': True, 'content': '38 ', 'source': 'box_yolo_content_ocr'}
icon 12: {'type': 'icon', 'bbox': [0.043671030551195145, 0.6450362801551819, 0.18351539969444275, 0.700671374797821], 'interactivity': True, 'content': '41 ', 'source': 'box_yolo_content_ocr'}
icon 13: {'type': 'icon', 'bbox': [0.6144842505455017, 0.6390555500984192, 0.7489738464355469, 0.6998719573020935], 'interactivity': True, 'content': '45 ', 'source': 'box_yolo_content_ocr'}
icon 14: {'type': 'icon', 'bbox': [0.6143585443496704, 0.5846745371818542, 0.7504407167434692, 0.6394658088684082], 'interactivity': True, 'content': '39 ', 'source': 'box_yolo_content_ocr'}
icon 15: {'type': 'icon', 'bbox': [0.7576830983161926, 0.6384525895118713, 0.8907957077026367, 0.699394166469574], 'interactivity': True, 'content': '46 ', 'source': 'box_yolo_content_ocr'}
icon 16: {'type': 'icon', 'bbox': [0.7584568858146667, 0.5849273800849915, 0.8907296657562256, 0.6388705372810364], 'interactivity': True, 'content': '40 ', 'source': 'box_yolo_content_ocr'}
icon 17: {'type': 'icon', 'bbox': [0.8404977321624756, 0.7154354453086853, 0.9515103101730347, 0.7652442455291748], 'interactivity': True, 'content': '+ ', 'source': 'box_yolo_content_ocr'}
icon 18: {'type': 'icon', 'bbox': [0.7347056269645691, 0.7152168154716492, 0.8283049464225769, 0.7627189755439758], 'interactivity': True, 'content': '1 ', 'source': 'box_yolo_content_ocr'}
icon 19: {'type': 'icon', 'bbox': [0.026209227740764618, 0.9141521453857422, 0.9718030095100403, 0.9726375937461853], 'interactivity': True, 'content': 'a red folder or file.', 'source': 'box_yolo_content_yolo'}
icon 20: {'type': 'icon', 'bbox': [0.029242897406220436, 0.19433456659317017, 0.19447769224643707, 0.27486222982406616], 'interactivity': True, 'content': 'a bookmark for a computer.', 'source': 'box_yolo_content_yolo'}
icon 21: {'type': 'icon', 'bbox': [0.6111012697219849, 0.7137053608894348, 0.7355401515960693, 0.7657968997955322], 'interactivity': True, 'content': 'a loading or buffering indicator.', 'source': 'box_yolo_content_yolo'}
icon 22: {'type': 'icon', 'bbox': [0.31390580534935, 0.0181649848818779, 0.3557797968387604, 0.03519391641020775], 'interactivity': True, 'content': 'Refresh or reload the page.', 'source': 'box_yolo_content_yolo'}
icon 23: {'type': 'icon', 'bbox': [0.8613444566726685, 0.01519803050905466, 0.9262826442718506, 0.03541974723339081], 'interactivity': True, 'content': 'A number or date.', 'source': 'box_yolo_content_yolo'}
icon 24: {'type': 'icon', 'bbox': [0.6978845596313477, 0.013027810491621494, 0.7500117421150208, 0.03892047703266144], 'interactivity': True, 'content': 'a push pin or pinning function.', 'source': 'box_yolo_content_yolo'}
icon 25: {'type': 'icon', 'bbox': [0.7562224864959717, 0.014451459050178528, 0.8046249151229858, 0.03603223338723183], 'interactivity': True, 'content': 'Wi-Fi signal orWi-fi connectivity.', 'source': 'box_yolo_content_yolo'}
icon 26: {'type': 'icon', 'bbox': [0.8098402619361877, 0.015286344103515148, 0.8533368706703186, 0.03509197384119034], 'interactivity': True, 'content': 'A close or delete function.', 'source': 'box_yolo_content_yolo'}
